DevEui,JoinEui,Class,PRR,Total Messages,updf,upinfo,dntxed,joining,joined,dnfail,dnacked,Initial FCntUp,Last FCntUp,Expected Packets,Received Packets
10-00-00-02-3F-3D-AC-94,N/A,A,96.51%,1052,526,526,0,0,0,0,0,911,525,545,526
10-00-00-02-3F-3D-AC-74,N/A,A,74.57%,2174,786,786,602,0,0,0,0,79584,80637,1054,786
10-00-00-02-3F-3D-AC-14,N/A,A,98.81%,2232,1078,1078,39,0,0,0,37,81982,83072,1091,1078
10-00-00-02-3F-3D-AC-55,N/A,A,99.45%,1082,541,541,0,0,0,0,0,911,524,544,541
10-00-00-02-3F-3D-AC-33,N/A,A,60.09%,1268,634,634,0,0,0,0,0,78773,79827,1055,634
10-00-00-02-3F-3D-AC-6C,N/A,A,96.53%,2197,1056,1056,45,0,0,0,40,81782,82875,1094,1056
10-00-00-02-3F-3D-AC-63,N/A,A,90.62%,986,493,493,0,0,0,0,0,910,524,544,493
10-00-00-02-3F-3D-AC-0E,N/A,A,99.63%,1086,543,543,0,0,0,0,0,910,525,545,543
10-00-00-02-3F-3D-AC-52,N/A,A,98.10%,2068,1034,1034,0,0,0,0,0,78220,79273,1054,1034
10-00-00-02-3F-3D-AC-96,N/A,A,91.50%,990,495,495,0,0,0,0,0,911,523,541,495
10-00-00-02-3F-3D-AC-1C,N/A,A,98.15%,1064,532,532,0,0,0,0,0,910,523,542,532
10-00-00-02-3F-3D-AC-AE,N/A,A,99.08%,1076,538,538,0,0,0,0,0,910,523,543,538
10-00-00-02-3F-3D-AC-5F,N/A,A,98.96%,2086,1043,1043,0,0,0,0,0,79064,80117,1054,1043
10-00-00-02-3F-3D-AC-29,N/A,A,99.82%,1086,543,543,0,0,0,0,0,910,524,544,543
00-95-69-0E-00-00-16-C9,01-02-03-04-05-06-07-08,C,100.00%,193,82,82,0,24,5,0,0,0,41,82,82
A8-17-58-FF-FE-06-3E-77,N/A,A,100.00%,142,71,71,0,0,0,0,0,29646,29716,71,71
10-00-00-02-3F-3D-AC-70,N/A,A,98.96%,2086,1043,1043,0,0,0,0,0,78329,79382,1054,1043
10-00-00-02-3F-3D-AC-4E,N/A,A,97.16%,2198,1059,1059,41,0,0,0,39,81710,82799,1090,1059
10-00-00-02-3F-3D-AC-48,N/A,A,98.35%,2219,1072,1072,38,0,0,0,37,82054,83143,1090,1072
A8-17-58-FF-FE-06-62-F5,N/A,A,100.00%,142,71,71,0,0,0,0,0,120794,120864,71,71
10-00-00-02-3F-3D-AC-BF,N/A,A,97.16%,2195,1059,1059,40,0,0,0,37,81703,82792,1090,1059
10-00-00-02-3F-3D-AC-A5,N/A,A,85.27%,1948,932,932,44,0,0,0,40,80603,81695,1093,932
10-00-00-02-3F-3D-AC-93,N/A,A,83.92%,908,454,454,0,0,0,0,0,910,523,541,454
10-00-00-02-3F-3D-AC-A9,N/A,A,93.25%,2129,1023,1023,44,0,0,0,39,82317,83413,1097,1023
10-00-00-02-3F-3D-AC-16,N/A,A,94.10%,1020,510,510,0,0,0,0,0,911,524,542,510
10-00-00-02-3F-3D-AC-27,N/A,A,81.95%,1878,899,899,45,0,0,0,35,82257,83353,1097,899
00-95-69-0E-00-00-16-0E,01-02-03-04-05-06-07-08,Unknown,100.00%,2913,0,0,0,2913,0,0,0,N/A,N/A,0,0
00-95-69-0E-00-00-16-D0,01-02-03-04-05-06-07-08,C,83.78%,227,62,62,0,94,9,0,0,0,12,74,62
92-30-00-01-00-00-01-29,92-30-00-02-00-00-01-29,C,100.00%,104,49,49,0,3,3,0,0,12,13,49,49
10-00-00-02-3F-3D-AC-12,N/A,A,80.36%,1869,888,888,54,0,0,0,39,82298,83402,1105,888
A8-17-58-FF-FE-04-07-F3,N/A,A,100.00%,72,36,36,0,0,0,0,0,89005,89040,36,36
92-30-00-01-00-00-01-95,92-30-00-02-00-00-01-95,C,100.00%,128,60,60,0,4,4,0,0,6,11,60,60
10-00-00-02-3F-3D-AC-6A,N/A,A,98.20%,2072,1036,1036,0,0,0,0,0,78315,79369,1055,1036
10-00-00-02-3F-3D-AC-9D,N/A,A,98.44%,2224,1073,1073,40,0,0,0,38,82032,83121,1090,1073
10-00-00-02-3F-3D-AC-9E,N/A,A,97.98%,1068,534,534,0,0,0,0,0,910,525,545,534
10-00-00-02-3F-3D-AC-9F,N/A,A,97.54%,2060,1030,1030,0,0,0,0,0,79095,80150,1056,1030
10-00-00-02-3F-3D-AC-59,N/A,A,96.32%,1048,524,524,0,0,0,0,0,911,525,544,524
10-00-00-02-3F-3D-AC-C7,N/A,C,99.05%,2090,1045,1045,0,0,0,0,0,77677,78731,1055,1045
47-8B-41-F2-00-1B-00-36,N/A,C,85.37%,910,455,455,0,0,0,0,0,12959,13491,533,455
10-00-00-02-3F-3D-AC-09,N/A,A,96.50%,1048,524,524,0,0,0,0,0,910,524,543,524
10-00-00-02-3F-3D-AC-44,N/A,A,96.51%,1050,525,525,0,0,0,0,0,910,525,544,525
A8-17-58-FF-FE-04-AB-84,N/A,A,100.00%,72,36,36,0,0,0,0,0,85800,85835,36,36
10-00-00-02-3F-3D-AC-88,N/A,A,98.39%,2074,1037,1037,0,0,0,0,0,78283,79336,1054,1037
8C-F9-57-40-00-00-04-7D,N/A,A,99.52%,418,209,209,0,0,0,0,0,153278,153487,210,209
A8-17-58-FF-FE-06-5F-77,N/A,A,77.46%,110,55,55,0,0,0,0,0,49741,49811,71,55
10-00-00-02-3F-3D-AC-4C,N/A,A,65.40%,1541,724,724,56,0,0,0,37,138946,140052,1107,724
8C-F9-57-40-00-00-04-FE,N/A,A,100.00%,420,210,210,0,0,0,0,0,152572,152781,210,210
10-00-00-02-3F-3D-AC-B1,N/A,A,99.82%,2260,1090,1090,41,0,0,0,39,81935,83026,1092,1090
10-00-00-02-3F-3D-AC-82,N/A,A,76.95%,828,414,414,0,0,0,0,0,910,521,538,414
10-00-00-02-3F-3D-AC-65,N/A,A,91.09%,1922,961,961,0,0,0,0,0,79087,80141,1055,961
24-E1-24-13-6C-34-32-04,N/A,A,94.39%,202,101,101,0,0,0,0,0,19,125,107,101
10-00-00-02-3F-3D-AC-80,N/A,A,90.24%,980,490,490,0,0,0,0,0,911,524,543,490
92-30-00-01-00-00-01-80,92-30-00-02-00-00-01-80,C,98.39%,132,61,61,0,5,5,0,0,12,6,62,61
A8-17-58-FF-FE-04-AC-45,N/A,A,100.00%,422,211,211,0,0,0,0,0,266779,266989,211,211
00-95-69-06-00-01-3C-CF,24-E1-24-C0-00-2A-00-01,A,99.66%,9201,3242,3242,1318,111,8,0,1280,85,490,3253,3242
10-00-00-02-3F-3D-AC-00,N/A,A,94.40%,1990,995,995,0,0,0,0,0,79168,80221,1054,995
10-00-00-02-3F-3D-AC-37,N/A,A,98.35%,1072,536,536,0,0,0,0,0,913,525,545,536
00-95-69-06-00-01-2A-E5,00-00-00-00-00-00-00-00,C,98.20%,2099,1034,1034,0,23,8,0,0,94,490,1053,1034
10-00-00-02-3F-3D-AC-23,N/A,A,61.90%,1300,650,650,0,0,0,0,0,78517,79566,1050,650
10-00-00-02-3F-3D-AC-3B,N/A,A,97.79%,1062,531,531,0,0,0,0,0,910,524,543,531
10-00-00-02-3F-3D-AC-2B,N/A,A,98.20%,2070,1035,1035,0,0,0,0,0,79078,80131,1054,1035
92-30-00-01-00-00-03-84,92-30-00-02-00-00-03-84,C,96.83%,129,61,61,0,4,3,0,0,4,13,63,61
A8-17-58-FF-FE-04-07-F7,N/A,A,94.44%,68,34,34,0,0,0,0,0,19657,19692,36,34
10-00-00-02-3F-3D-AC-49,N/A,A,100.00%,2110,1055,1055,0,0,0,0,0,79064,80118,1055,1055
10-00-00-02-3F-3D-AC-69,N/A,A,99.91%,2108,1054,1054,0,0,0,0,0,79021,80075,1055,1054
92-30-00-01-00-00-00-42,92-30-00-02-00-00-00-42,C,98.18%,118,54,54,0,5,5,0,0,1,6,55,54
10-00-00-02-3F-3D-AC-2F,N/A,A,84.54%,1782,891,891,0,0,0,0,0,135920,136973,1054,891
47-5B-41-F2-00-3C-00-18,N/A,C,97.59%,1054,527,527,0,0,0,0,0,3562,4101,540,527
10-00-00-02-3F-3D-AC-C1,N/A,A,97.61%,1064,532,532,0,0,0,0,0,910,525,545,532
A8-17-58-FF-FE-06-2B-F0,N/A,A,100.00%,142,71,71,0,0,0,0,0,89051,89121,71,71
92-30-00-01-00-00-02-57,92-30-00-02-00-00-02-57,C,100.00%,132,61,61,0,5,5,0,0,12,6,61,61
